"","datapointID","DOI","inocType","FieldGreenhouse","treatment","location","TotBiomass","lat","lon","Study","studyGroup","yi"
"13",13,"10.1890/15-0599.1","soil","mesocosm","Inoculum 1: Soil from Monoculture of plant that was planted in experiment","50°55'N, 11°35'E, 130m a.s.l.",32.18,50.9166666666667,11.5833333333333,2,"2.1",0.0175553097829111
"17",17,"10.1890/15-0599.1","soil","mesocosm","Inoculum 1: Soil from Monoculture of plant that was planted in experiment","50°55'N, 11°35'E, 130m a.s.l.",48.31,50.9166666666667,11.5833333333333,2,"2.2",0.126958723546932
"21",21,"10.1890/15-0599.1","soil","mesocosm","Inoculum 3: Soil from monoculture of Festuca pratensis","50°55'N, 11°35'E, 130m a.s.l.",44.24,50.9166666666667,11.5833333333333,2,"2.3",0.403884080110846
"25",25,"10.1890/15-0599.1","soil","mesocosm","Inoculum 4: Soil from monoculture of Poa pratensis","50°55'N, 11°35'E, 130m a.s.l.",2.25,50.9166666666667,11.5833333333333,2,"2.4",0.752661308092353
"37",37,"10.1890/15-0599.1","soil","mesocosm","Inoculum 7: Soil from monoculture of Plantago lanceolata","50°55'N, 11°35'E, 130m a.s.l.",80,50.9166666666667,11.5833333333333,2,"2.7",0.353821874956326
"41",41,"10.1890/15-0599.1","soil","mesocosm","Inoculum 8: Soil from monoculture fo Prunella vulgaris","50°55'N, 11°35'E, 130m a.s.l.",12.32,50.9166666666667,11.5833333333333,2,"2.8",0.138180401462767
"42",42,"10.1890/15-0599.1","soil","mesocosm","Inoculum 2: Soil from Mixture of Plants that contained plants of all 4 functional groups (Jena experiment): grasses, legumes, tall herbs, small herbs","50°55'N, 11°35'E, 130m a.s.l.",21.59,50.9166666666667,11.5833333333333,2,"2.88",0.583165584590052
"45",45,"10.1890/15-0599.1","soil","mesocosm","Inoculum 9: Soil from monoculture of Onobrychis viciifolia","50°55'N, 11°35'E, 130m a.s.l.",16.16,50.9166666666667,11.5833333333333,2,"2.9",1.30777604398545
"77",91,"10.1111/ELE.12816","soil","greenhouse","Inoculum: Soil from Pinus halepensis forest","33°13'43''N, 35°33'52''E",0.99,33.2286111111111,35.5644444444444,6,"6.1",1.22782402014812
"78",92,"10.1111/ELE.12816","soil","greenhouse","Inoculum: Mean of Quercus calliprinos woodland, Quercus ithaburensis sparse woodland, Eucalyptus camaldulensis forest soil inoculation experiments","33°13'43''N, 35°33'52''E",0.43,33.2286111111111,35.5644444444444,6,"6.2",0.465363249689233
"82",96,"10.1017/S0266467412000399","soil","greenhouse","Inoculum: Soil from early successional stage after agricultural field abandonment","23°27'S, 51°28'W",1.65,-23.45,-51.4666666666667,7,"7.1",3.71965111278069
"83",97,"10.1017/S0266467412000399","soil","greenhouse","Inoculum: Soil from Young secondary forests, between 20 and 30 years old stands","23°27'S, 51°28'W",1.32,-23.45,-51.4666666666667,7,"7.1",3.49650756146648
"84",98,"10.1017/S0266467412000399","soil","greenhouse","Inoculum: Soil from mature freost with late secondary and climax wood species","23°27'S, 51°28'W",0.23,-23.45,-51.4666666666667,7,"7.1",1.74919985480926
"112",126,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from dry perennial grassland, used as pasture until 15 years ago","58°10'N, 26°34'E",0.0216,58.1666666666667,26.5666666666667,9,"9.1",0.932627151193849
"113",127,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from dry perennial grassland, used as pasture until 15 years ago","58°10'N, 26°34'E",0.0128,58.1666666666667,26.5666666666667,9,"9.2",0.330241686870577
"114",128,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from mature, boreal Scots Pine dominated forest with very little AM plants","58°24'N, 25°19'E",0.0121,58.4,25.3166666666667,9,"9.1",0.353139289106425
"115",129,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from mature, boreal Scots Pine dominated forest with very little AM plants","58°24'N, 25°19'E",0.0217,58.4,25.3166666666667,9,"9.2",0.858108776491419
"118",132,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from dry perennial grassland, used as pasture until 15 years ago","58°10'N, 26°34'E",1.6002,58.1666666666667,26.5666666666667,9,"9.3",4.19153126725338
"119",133,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from dry perennial grassland, used as pasture until 15 years ago","58°10'N, 26°34'E",1.8969,58.1666666666667,26.5666666666667,9,"9.4",4.54229364932552
"120",134,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from mature, boreal Scots Pine dominated forest with very little AM plants","58°24'N, 25°19'E",0.1776,58.4,25.3166666666667,9,"9.3",1.99318119739543
"121",135,"10.1111/J.0269-8463.2004.00876.X","soil","greenhouse","Inoculum: Soil from mature, boreal Scots Pine dominated forest with very little AM plants","58°24'N, 25°19'E",0.107,58.4,25.3166666666667,9,"9.4",1.66714623005475
"125",139,"10.1007/S10021-021-00666-0","soil","greenhouse","Inoculum: Soil from Low burn severity forest stand","59.8°N, 16.1°E, Västmanland burn site 2014",0.32,59.8,16.1,10,"10.1",0.421213465076304
"126",140,"10.1007/S10021-021-00666-0","soil","greenhouse","Inoculum: Soil from unburnt forest stand","59.8°N, 16.1°E, Västmanland burn site 2014",0.23,59.8,16.1,10,"10.1",0.0909717782057268
"128",142,"10.1007/S10021-021-00666-0","soil","greenhouse","Inoculum: Soil from High burn severity forest stand","59.8°N, 16.1°E, Västmanland burn site 2014",0.5,59.8,16.1,10,"10.2",0.198450938723838
"129",143,"10.1007/S10021-021-00666-0","soil","greenhouse","Inoculum: Soil from Low burn severity forest stand","59.8°N, 16.1°E, Västmanland burn site 2014",0.67,59.8,16.1,10,"10.2",0.491120552686658
"130",144,"10.1007/S10021-021-00666-0","soil","greenhouse","Inoculum: Soil from unburnt forest stand","59.8°N, 16.1°E, Västmanland burn site 2014",0.42,59.8,16.1,10,"10.2",0.0240975515790605
"156",170,"10.1111/1365-2745.13220","soil","mesocosm","Inoculum: soil from grassland, plants have two different genotypes: one of inoculum origin, other from away","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",3.57,NA,NA,11,"11.11",0.048790164169432
"161",175,"10.1111/1365-2745.13220","soil","mesocosm","Inoculum: Soil from grassland that matches seedling genotype origin (Home-soil), activated carbon","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",3.31,NA,NA,11,"11.14",0.0337973795832907
"164",178,"10.1111/1365-2745.13220","soil","mesocosm","Inoculum: Soil from grassland that is different from seedling genotype origin (Away-soil)","Site A (59°21′16″N, 24°59′02″E), Site B (58°38′32″N, 23°30′56″E) and Site C (58°26′13″N, 23°04′13″E)",3.98,NA,NA,11,"11.15",0.0410313966778626
"192",235,"10.1007/S11258-021-01198-2","soil","greenhouse","Inoculum: Soil from Solidago altissima genotype 14","39°29'N, 88°17'W",18.24,39.4833333333333,-88.2833333333333,15,"15.1",0.136040804229948
"193",236,"10.1007/S11258-021-01198-2","soil","greenhouse","Inoculum: Soil from Solidago altissima genotype 15","39°29'N, 88°17'W",18.32,39.4833333333333,-88.2833333333333,15,"15.1",0.140417178829747
"194",237,"10.1007/S11258-021-01198-2","soil","greenhouse","Inoculum: Soil from Solidago altissima genotype 16","39°29'N, 88°17'W",18.56,39.4833333333333,-88.2833333333333,15,"15.1",0.153432546941818
"195",238,"10.1007/S11258-021-01198-2","soil","greenhouse","Inoculum: Soil from Solidago altissima genotype 17","39°29'N, 88°17'W",19.6,39.4833333333333,-88.2833333333333,15,"15.1",0.207953385820235
"196",239,"10.1007/S11258-021-01198-2","soil","greenhouse","Inoculum: Soil from Solidago altissima genotype 18","39°29'N, 88°17'W",20.64,39.4833333333333,-88.2833333333333,15,"15.1",0.259654760197125
