STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
35410135,['AMF'],biomass,147.32,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,157.46,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,261.27,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,"
",,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,4.44,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,10.36,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,4,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,['AMF'],biomass,12,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,[],biomass,26,,"Plant species model: ƒi = α + β1 × X Specie + β2 × X Nutrients distribution + bi × Zgroups + εi. If letters 
in the last column were different, the mixed factors (Plant species or Nutrients distribution) were captured into these models
Response variable
Linear mixed models
AIC
BIC
T value
Significant Difference
RPA
Null model
90.00
95.07
19.15
a
Plant species
90.63
97.39
14.40
a
Nutrients distribution
90.31
97.07
14.77
a
AMF model
86.08
92.84
16.33
b
Plant species * Nutrients 
distribution
90.58
99.03
12.88
a
Species * AMF
84.88
93.32
15.78
c
Nutrients distribution 
* AMF
84.01
92.46
16.75
c
Plant species * Nutrients 
distribution * AMF
80.55
90.68
20.44
d
RGR​
Null model
157.01
162.08
18.00
a
Plant species
157.45
164.20
13.80
a
Nutrients distribution
158.68
165.44
11.67
a
AMF model
150.79
157.55
22.02
b
Plant species * Nutrients 
distribution
159.05
167.49
10.25
a
Plant species * AMF
147.32
155.76
24.38
c
Nutrients distribution 
* AMF
151.85
160.29
16.95
b
Plant species * Nutrients 
distribution * AMF
147.32
157.46
20.86
c
Biomass
Null model
256.21
261.27
4.44
a
Plant species
253.74
260.50
2.34
b
Nutrients distribution
258.18
264.94
2.81
a
AMF model
253.73
260.48
5.34
b
Species * Nutrients 
distribution
255.70
264.14
1.66
a
Plant species * AMF
244.66
253.10
5.72
c
Nutrients distribution 
* AMF
255.69
264.13
3.89
a
Plant species * Nutrients 
distribution * AMF
246.49
256.62
4.33
c
Root:shoot
Null model
-91.82
-86.75
10.95
a
Plant species
-95.69
-88.94
12.15
b
Nutrients distribution
-90.84
-84.08
7.00
a
AMF model
-91.67
-84.91
7.16
a
Plant species * Nutrients 
distribution
-95.99
-87.55
9.71
b
Plant species * AMF
-98.20
-89.76
10.88
c
Nutrients distribution 
* AMF
-90.97
-82.53
5.25
a
Plant species * Nutrients 
distribution * AMF
-100.81
-90.68
10.36
d
Page 4 of 12
Liang et al. 3a), and the root biomass of both 
­
N2-fixing plants (A. odoratissima: p < 0.001, R2 = 0.872; 
C. cajan: p < 0.001, R2 = 0.864; Fig. Our results showed that the plants had a higher 
root biomass and AM colonisation in the heterogeneous 
soil environment than in the homogeneous soil environ-
ment (Figs. AM colonisation was positively 
correlated with root biomass in the heterogeneous soil 
environment (Fig. The accumulation strategies of plant nutrient acquisi-
tion between root biomass and AM fungi in poor and 
heterogeneous soil environments can be explained by 
the root absorption capacity [26].",2
35410135,[],biomass,2,,"2  Relationship between root biomass and arbuscular 
mycorrhizal fungi (AMF) colonisation of two ­
N2-fixing plant species 
(Albizia odoratissima and Cajanus cajan) grown in different soil 
conditions (ho, homogeneous; he, heterogenous; AMF, inoculated; 
non-AMF, not inoculated)
Page 6 of 12
Liang et al. 3  Relationship between the arbuscular mycorrhizal fungal colonisation and relative growth rate (a); relative growth rate and root phosphatase 
activity phosphatases (b); ­
N2 fixation and relative growth rate (c); root biomass and relative growth rate (d) of two ­
N2-fixing plant species (Albizia 
odoratissima and Cajanus cajan) grown in different soil conditions (ho, homogeneous; he, heterogenous; AMF, inoculated; non-AMF, not inoculated)
Page 7 of 12
Liang et al. Although plant growth 
was not significantly improved by the AM inoculation 
in the present study, it increased the root biomass in the 
heterogeneous soil environment compared with homo-
geneous soil environment.",1
